"ids","boat_HR","boat_sdnn","dungeon_HR","dungeon_sdnn"
1216,101.26582,27.793771,93.119822,39.02008
1843,105.392471,20.884151,113.617405,37.563957
1994,77.962852,52.952701,74.448588,82.607346
2168,84.220179,76.489051,79.550286,66.665767
2200,62.798306,79.114206,69.022173,60.767157
2368,73.733513,48.266194,73.393655,82.759647
3167,84.986681,85.630676,106.003655,52.662946
3610,80.655414,56.095342,78.860398,68.243328
4009,91.875072,53.220016,85.563004,52.887018
4470,74.03924,36.952332,72.982269,50.201244
4793,87.804684,48.494239,94.40605,97.616665
4862,69.336715,53.171918,66.270084,79.188987
4977,68.40721,71.098504,68.99304,68.903357
5103,109.460576,49.65087,113.648094,46.228386
5375,111.81625,21.583273,121.479442,27.205449
5568,68.434959,64.103618,68.722176,53.837391
5575,71.254112,53.572643,79.831837,108.083881
6298,92.295996,17.207243,95.406063,108.882482
6345,77.831866,61.59481,93.057618,105.740572
6566,89.467133,200.847766,90.451939,81.829404
6708,72.203237,141.826326,91.756328,112.793967
6837,78.031079,93.209153,82.332942,95.493911
7412,86.689415,68.673419,86.287862,67.395154
7503,74.707177,48.799419,79.932107,58.726515
7565,80.560778,27.545026,97.299029,42.542545
9254,75.866271,52.128369,73.80077,68.82228
9973,92.943063,53.14594,97.610038,81.783432
