"ids","boat2_HR","boat2_sdnn","dungeon_HR","dungeon_sdnn","boat1_HR","boat1_sdnn"
1321,81.075851,106.869799,71.53741,132.504838,81.503066,103.811032
1881,76.759818,104.951517,88.061535,79.754844,73.378287,111.031773
2239,90.629048,63.49695,90.478804,60.154603,89.782633,71.048717
2304,89.921295,82.424731,90.232197,91.151687,90.983682,74.655424
2311,84.838531,66.05358,85.493527,53.902396,86.064073,52.951318
2599,79.624657,105.27432,81.681595,101.157544,80.212765,106.945168
3176,62.518763,62.81621,60.642756,67.825896,59.839966,73.60485
3511,107.112564,47.032422,129.63396,65.048421,106.938749,54.294462
4335,72.506469,110.232178,72.508449,109.439681,73.074516,122.702418
4592,74.977054,94.912097,74.75668,47.301285,74.846123,95.249441
5438,65.610362,118.419981,69.852122,135.499385,61.917561,111.055215
5720,85.379029,81.626924,84.607497,87.247638,87.297419,67.131185
5822,96.989883,92.102248,107.399043,64.433601,96.977773,87.605338
6001,87.862461,59.263671,89.878104,54.037452,89.688895,41.733282
6429,67.625849,109.895076,77.534757,80.382286,67.584864,107.219707
6782,67.880275,119.775164,82.831399,110.897938,65.559427,97.383843
6924,84.265979,62.369267,96.949482,46.55554,85.001309,55.776152
7174,71.152076,99.663945,75.997194,81.620868,70.160856,97.467394
7653,88.287464,57.448539,91.404,62.431801,88.895502,56.587324
7816,83.965352,121.978698,72.731211,77.587634,78.709987,146.142266
7910,83.850404,90.530769,85.914839,74.790712,83.497184,95.638979
8378,83.085878,95.552891,81.063846,89.887035,84.718476,89.045721
8803,78.127205,41.837502,75.854088,46.559594,73.246015,63.357276
8823,59.129728,102.337242,60.303518,109.656451,58.382298,104.239543
8869,75.902666,113.094794,81.401882,102.26592,75.503914,121.02659
9114,81.098739,108.076106,82.039118,118.251351,81.389487,101.06262
9361,81.923923,114.608894,92.056606,99.919066,80.953206,125.708845
9942,63.071259,203.040677,64.465293,177.040615,59.742352,161.579369
