"","Time..s.","PPG.trace","Preprocessed.PPG"
"6941",92.73193,80.74586,105.80686
"6942",92.74527,80.58961,105.67392
"6943",92.758606,80.45533,105.55807
"6944",92.77194,80.35767,105.47464
"6945",92.78528,80.31129,105.43943
"6946",92.798615,80.33082,105.46869
"6947",92.81195,80.42115,105.56936
"6948",92.82529,80.56275,105.72412
"6949",92.83862,80.72144,105.9004
"6950",92.85196,80.86305,106.06455
"6951",92.865295,80.955826,106.184296
"6952",92.87863,80.98024,106.23858
"6953",92.89197,80.92653,106.2155
"6954",92.905304,80.80202,106.11994
"6955",92.91864,80.61646,105.95945
"6956",92.93198,80.38697,105.74922
"6957",92.94531,80.1355,105.50984
"6958",92.95865,79.87427,105.252846
"6959",92.971985,79.62035,104.995
"6960",92.98532,79.378654,104.74144
"6961",92.99866,79.151596,104.494965
"6962",93.01199,78.93675,104.25361
"6963",93.02533,78.73899,104.02262
"6964",93.038666,78.57053,103.81476
"6965",93.052,78.43626,103.63581
"6966",93.06534,78.33372,103.484406
"6967",93.078674,78.260475,103.35909
"6968",93.09201,78.21164,103.2559
"6969",93.10535,78.184784,103.17316
"6970",93.11868,78.17502,103.10667
"6971",93.13202,78.18234,103.05696
"6972",93.145355,78.19943,103.01725
"6973",93.15869,78.22629,102.98784
"6974",93.17203,78.25559,102.961716
"6975",93.18536,78.28001,102.93162
"6976",93.1987,78.2971,102.89496
"6977",93.212036,78.29954,102.844185
"6978",93.22537,78.28733,102.77884
"6979",93.23871,78.26292,102.700905
"6980",93.252045,78.24582,102.629524
"6981",93.26538,78.29221,102.6211
"6982",93.27872,78.49485,102.77037
"6983",93.29205,78.93187,103.160355
"6984",93.30539,79.64233,103.83743
"6985",93.318726,80.59205,104.77598
"6986",93.33206,81.668724,105.871155
"6987",93.3454,82.72343,106.978004
"6988",93.358734,83.60723,107.946915
"6989",93.37207,84.22247,108.67488
"6990",93.38541,84.53498,109.11934
"6991",93.39874,84.56916,109.295235
"6992",93.41208,84.38361,109.25247
"6993",93.425415,84.04913,109.05498
"6994",93.43875,83.6292,108.76158
"6995",93.45209,83.18486,108.43065
"6996",93.46542,82.76494,108.11025
"6997",93.47876,82.4036,107.83532
"6998",93.492096,82.11795,107.62478
"6999",93.50543,81.90799,107.481
"7000",93.51877,81.75418,107.38682
"7001",93.532104,81.634544,107.322
"7002",93.54544,81.52224,107.26077
"7003",93.55878,81.40749,107.193596
"7004",93.57211,81.30007,107.13016
"7005",93.58545,81.214615,107.08533
"7006",93.598785,81.15846,107.06713
"7007",93.61212,81.13649,107.08136
"7008",93.62546,81.13405,107.11443
"7009",93.638794,81.12428,107.14011
"7010",93.65213,81.0901,107.14106
"7011",93.66547,81.01686,107.10188
"7012",93.6788,80.902115,107.01891
"7013",93.69214,80.740974,106.88596
