"","Time..s.","PPG.trace","Preprocessed.PPG"
"57916",796.4187,81.13649,92.034294
"57917",796.432,80.97536,91.908676
"57918",796.4453,80.79469,91.75849
"57919",796.4586,80.601814,91.59045
"57920",796.4719,80.40894,91.41638
"57921",796.4852,80.23071,91.25093
"57922",796.49854,80.076904,91.10433
"57923",796.51184,79.95239,90.98222
"57924",796.52515,79.85474,90.88308
"57925",796.53845,79.783936,90.80774
"57926",796.55176,79.73022,90.74727
"57927",796.56506,79.691154,90.699776
"57928",796.57837,79.65453,90.6535
"57929",796.5917,79.61303,90.601204
"57930",796.605,79.55688,90.53296
"57931",796.6183,79.48852,90.45075
"57932",796.6316,79.40795,90.3542
"57933",796.6449,79.32494,90.25269
"57934",796.6582,79.24437,90.151024
"57935",796.6715,79.168686,90.05173
"57936",796.6848,79.097885,89.95495
"57937",796.6981,79.027084,89.85596
"57938",796.7114,78.96117,89.759636
"57939",796.72473,78.89769,89.6637
"57940",796.73804,78.84398,89.57554
"57941",796.75134,78.80492,89.50035
"57942",796.76465,78.77562,89.43371
"57943",796.77795,78.75609,89.375916
"57944",796.79126,78.73899,89.31995
"57945",796.80457,78.71946,89.26101
"57946",796.8179,78.70237,89.2039
"57947",796.8312,78.69016,89.151146
"57948",796.8445,78.71702,89.13707
"57949",796.8578,78.83177,89.21173
"57950",796.8711,79.093,89.436455
"57951",796.8844,79.52758,89.84269
"57952",796.8977,80.113525,90.41387
"57953",796.911,80.77272,91.076614
"57954",796.9243,81.39773,91.72577
"57955",796.9376,81.87869,92.25041
"57956",796.9509,82.15457,92.585
"57957",796.96423,82.22781,92.72557
"57958",796.97754,82.14725,92.71462
"57959",796.99084,81.97635,92.610825
"57960",797.00415,81.77127,92.46751
"57961",797.01746,81.566185,92.31777
"57962",797.03076,81.3782,92.17873
"57963",797.04407,81.20485,92.04845
"57964",797.0574,81.03883,91.92008
"57965",797.0707,80.87038,91.78409
"57966",797.084,80.69703,91.63794
"57967",797.0973,80.516365,91.47906
"57968",797.1106,80.3357,91.31453
"57969",797.1239,80.16235,91.15167
"57970",797.1372,80.0061,91.000496
"57971",797.1505,79.87915,90.87373
"57972",797.1638,79.783936,90.77474
"57973",797.1771,79.72045,90.704506
"57974",797.1904,79.67895,90.65427
"57975",797.20374,79.65453,90.61982
"57976",797.21704,79.62524,90.57973
"57977",797.23035,79.586174,90.52895
"57978",797.24365,79.53246,90.46231
"57979",797.25696,79.46899,90.384224
"57980",797.27026,79.398186,90.29683
"57981",797.28357,79.3225,90.20234
"57982",797.2969,79.24193,90.10059
"57983",797.3102,79.1638,89.99878
"57984",797.3235,79.08812,89.896965
"57985",797.3368,79.01488,89.79523
"57986",797.3501,78.9514,89.700966
"57987",797.3634,78.90013,89.61693
"57988",797.3767,78.86107,89.543495
"57989",797.39,78.83177,89.47861
"57990",797.4033,78.80736,89.41769
"57991",797.4166,78.785385,89.358444
"57992",797.42993,78.76097,89.296074
"57993",797.44324,78.73899,89.235374
"57994",797.45654,78.746315,89.20329
"57995",797.46985,78.83177,89.24957
"57996",797.48315,79.05394,89.435234
"57997",797.49646,79.447014,89.798744
"57998",797.50977,79.99878,90.33323
"57999",797.5231,80.635994,90.970406
"58000",797.5364,81.253685,91.60797
"58001",797.5497,81.74441,92.13787
"58002",797.563,82.039825,92.4878
"58003",797.5763,82.1326,92.64432
"58004",797.5896,82.06424,92.6426
"58005",797.6029,81.89578,92.53865
"58006",797.6162,81.67849,92.3806
"58007",797.6295,81.461205,92.21577
"58008",797.6428,81.26101,92.06123
"58009",797.6561,81.08766,91.92729
"58010",797.66943,80.92897,91.80259
"58011",797.68274,80.7776,91.68025
"58012",797.69604,80.62379,91.550735
"58013",797.70935,80.462654,91.409096
"58014",797.72266,80.29664,91.25754
"58015",797.73596,80.14282,91.11299
"58016",797.74927,80.00366,90.978294
"58017",797.7626,79.886475,90.86122
"58018",797.7759,79.7937,90.7649
"58019",797.7892,79.727776,90.69253
"58020",797.8025,79.676506,90.63275
"58021",797.8158,79.63744,90.58358
"58022",797.8291,79.60082,90.53563
"58023",797.8424,79.55688,90.47921
"58024",797.8557,79.500725,90.40921
"58025",797.869,79.432365,90.32525
"58026",797.8823,79.35668,90.23183
"58027",797.8956,79.28344,90.13848
"58028",797.90894,79.21507,90.04772
"58029",797.92224,79.15892,89.96704
