"","Time..s.","PPG.trace","Preprocessed.PPG"
"44732",629.5537,78.15793,95.49567
"44733",629.567,78.311745,95.59192
"44734",629.5803,78.45335,95.68076
"44735",629.5936,78.56565,95.744736
"44736",629.60693,78.641335,95.7756
"44737",629.62024,78.67063,95.762436
"44738",629.63354,78.660866,95.71113
"44739",629.64685,78.6218,95.63022
"44740",629.66016,78.553444,95.51879
"44741",629.67346,78.46067,95.38081
"44742",629.68677,78.348366,95.220406
"44743",629.7001,78.260475,95.0809
"44744",629.7134,78.27268,95.03875
"44745",629.7267,78.49729,95.20938
"44746",629.74,79.04173,95.70686
"44747",629.7533,79.937744,96.57293
"44748",629.7666,81.112076,97.745316
"44749",629.7799,82.388954,99.056946
"44750",629.7932,83.560844,100.30349
"44751",629.8065,84.456856,101.310776
"44752",629.8198,84.99153,101.984726
"44753",629.8331,85.16731,102.31649
"44754",629.84644,85.05257,102.36322
"44755",629.85974,84.73029,102.19884
"44756",629.87305,84.283516,101.89988
"44757",629.88635,83.77081,101.521034
"44758",629.89966,83.22148,101.08954
"44759",629.91296,82.652626,100.62135
"44760",629.9263,82.054474,100.106094
"44761",629.9396,81.42458,99.540405
"44762",629.9529,80.782486,98.942825
"44763",629.9662,80.177,98.36179
"44764",629.9795,79.67162,97.861946
"44765",629.9928,79.32006,97.50012
"44766",630.0061,79.132065,97.29088
"44767",630.0194,79.10033,97.23202
"44768",630.0327,79.183334,97.28691
"44769",630.046,79.31274,97.39079
"44770",630.0593,79.4519,97.50848
"44771",630.07263,79.57641,97.61586
"44772",630.08594,79.66674,97.692955
"44773",630.09924,79.693596,97.7094
"44774",630.11255,79.64965,97.655876
"44775",630.12585,79.54223,97.537506
"44776",630.13916,79.3933,97.374275
"44777",630.15247,79.217514,97.17953
"44778",630.1658,79.046616,96.98418
"44779",630.1791,78.907455,96.81522
"44780",630.1924,78.80492,96.67854
"44781",630.2057,78.709694,96.545975
"44782",630.219,78.59983,96.39579
"44783",630.2323,78.450905,96.20311
"44784",630.2456,78.260475,95.96427
"44785",630.2589,78.0383,95.68774
"44786",630.2722,77.81857,95.40671
"44787",630.2855,77.63302,95.152985
"44788",630.2988,77.49386,94.93986
"44789",630.31213,77.40597,94.77365
"44790",630.32544,77.36202,94.64864
"44791",630.33875,77.35958,94.56377
"44792",630.35205,77.38644,94.50811
"44793",630.36536,77.43282,94.472824
"44794",630.37866,77.48409,94.44387
"44795",630.39197,77.52071,94.40187
"44796",630.4053,77.523155,94.326836
"44797",630.4186,77.4963,94.22258
"44798",630.4319,77.44259,94.09063
"44799",630.4452,77.36935,93.93747
"44800",630.4585,77.279015,93.76493
"44801",630.4718,77.17891,93.579796
"44802",630.4851,77.06416,93.37689
"44803",630.4984,76.925,93.14599
"44804",630.5117,76.76387,92.88876
"44805",630.525,76.60517,92.62894
"44806",630.5383,76.470894,92.38857
"44807",630.55164,76.40986,92.217255
"44808",630.56494,76.50507,92.20028
"44809",630.57825,76.86641,92.4524
"44810",630.59155,77.58907,93.07714
"44811",630.60486,78.69749,94.110214
"44812",630.61816,80.12573,95.49776
"44813",630.6315,81.71267,97.08862
"44814",630.6448,83.24834,98.67781
"44815",630.6581,84.52033,100.051315
"44816",630.6714,85.40658,101.07882
"44817",630.6847,85.86313,101.70432
"44818",630.698,85.94858,101.97299
"44819",630.7113,85.76059,101.970894
"44820",630.7246,85.41146,101.80178
"44821",630.7379,84.99397,101.5534
"44822",630.7512,84.56428,101.27976
"44823",630.7645,84.14923,101.00735
"44824",630.77783,83.72686,100.71464
"44825",630.79114,83.265434,100.369675
"44826",630.80444,82.75517,99.96146
"44827",630.81775,82.22537,99.51775
"44828",630.83105,81.72732,99.08924
"44829",630.84436,81.324486,98.74039
"44830",630.85767,81.06081,98.5181
"44831",630.871,80.94606,98.4365
"44832",630.8843,80.95094,98.47095
"44833",630.8976,81.02663,98.57635
"44834",630.9109,81.1194,98.7012
"44835",630.9242,81.18532,98.8021
"44836",630.9375,81.197525,98.85135
"44837",630.9508,81.1487,98.83994
"44838",630.9641,81.03883,98.765976
"44839",630.9774,80.88014,98.63975
"44840",630.9907,80.68238,98.46949
"44841",631.004,80.45533,98.26376
"44842",631.01733,80.19653,98.019196
"44843",631.03064,79.903564,97.73237
"44844",631.04395,79.57885,97.40464
"44845",631.05725,79.234604,97.04723
"44846",631.07056,78.88548,96.674194
"44847",631.08386,78.555885,96.30977
"44848",631.09717,78.26536,95.97411
"44849",631.1105,78.028534,95.68308
"44850",631.1238,77.83322,95.42616
"44851",631.1371,77.6672,95.19243
"44852",631.1504,77.51095,94.96328
"44853",631.1637,77.36202,94.73657
"44854",631.177,77.222855,94.51497
"44855",631.1903,77.10567,94.311
"44856",631.2036,77.01289,94.12778
"44857",631.2169,76.94209,93.96363
"44858",631.2302,76.88838,93.81436
"44859",631.2435,76.839554,93.6683
"44860",631.25684,76.78584,93.51582
"44861",631.27014,76.72236,93.3519
"44862",631.28345,76.64423,93.17135
"44863",631.29675,76.561226,92.983475
"44864",631.31006,76.4831,92.79789
"44865",631.32336,76.41474,92.61963
"44866",631.3367,76.36103,92.45388
"44867",631.35,76.314644,92.29378
"44868",631.3633,76.25605,92.12002
"44869",631.3766,76.17792,91.92489
"44870",631.3899,76.08026,91.707794
"44871",631.4032,75.99481,91.499855
"44872",631.4165,75.97528,91.35516
"44873",631.4298,76.10712,91.36123
"44874",631.4431,76.49287,91.62533
"44875",631.4564,77.22774,92.2506
"44876",631.4697,78.33616,93.27239
"44877",631.48303,79.74731,94.631546
"44878",631.49634,81.31228,96.18862
"44879",631.50964,82.83086,97.74821
"44880",631.52295,84.102844,99.10866
"44881",631.53625,85.00618,100.140205
"44882",631.54956,85.506676,100.79714
"44883",631.56287,85.65316,101.11571
"44884",631.5762,85.540855,101.18006
"44885",631.5895,85.262535,101.07489
"44886",631.6028,84.91341,100.89021
"44887",631.6161,84.54719,100.677536
"44888",631.6294,84.190735,100.46318
"44889",631.6427,83.83673,100.240135
"44890",631.656,83.475395,99.998695
"44891",631.6693,83.09941,99.731316
"44892",631.6826,82.72831,99.45707
"44893",631.6959,82.38163,99.19565
"44894",631.7092,82.09598,98.98442
"44895",631.72253,81.89578,98.849724
"44896",631.73584,81.79324,98.80643
"44897",631.74915,81.78104,98.85026
"44898",631.76245,81.83475,98.959625
"44899",631.77576,81.9202,99.10241
"44900",631.78906,81.986115,99.22833
"44901",631.80237,81.988556,99.29284
"44902",631.8157,81.89334,99.259766
"44903",631.829,81.705345,99.130936
"44904",631.8423,81.43679,98.91567
"44905",631.8556,81.12428,98.64806
"44906",631.8689,80.80446,98.36337
"44907",631.8822,80.49683,98.08089
"44908",631.8955,80.216064,97.81564
"44909",631.9088,79.954834,97.561165
"44910",631.9221,79.72045,97.32537
"44911",631.9354,79.500725,97.09691
"44912",631.9487,79.30053,96.88111
"44913",631.96204,79.114975,96.6737
"44914",631.97534,78.94652,96.477585
"44915",631.98865,78.79027,96.288414
"44916",632.00195,78.641335,96.10168
"44917",632.01526,78.49485,95.912735
"44918",632.02856,78.363014,95.733864
"44919",632.0419,78.25071,95.570404
"44920",632.0552,78.15793,95.42296
"44921",632.0685,78.08713,95.29459
"44922",632.0818,78.02609,95.17378
"44923",632.0951,77.962616,95.04862
"44924",632.1084,77.88937,94.91171
"44925",632.1217,77.80881,94.76519
"44926",632.135,77.730675,94.61858
"44927",632.1483,77.662315,94.47931
"44928",632.1616,77.60616,94.350105
"44929",632.1749,77.56466,94.233795
"44930",632.18823,77.53292,94.12595
"44931",632.20154,77.51095,94.026886
"44932",632.21484,77.488976,93.92713
"44933",632.22815,77.45968,93.81937
"44934",632.24146,77.41329,93.693596
"44935",632.25476,77.35714,93.55661
"44936",632.26807,77.30587,93.42275
"44937",632.2814,77.279015,93.31171
"44938",632.2947,77.30099,93.24865
"44939",632.308,77.40841,93.27173
"44940",632.3213,77.64767,93.43
"44941",632.3346,78.09689,93.80572
"44942",632.3479,78.83421,94.48357
"44943",632.3612,79.87427,95.48719
"44944",632.3745,81.1487,96.75769
"44945",632.3878,82.513466,98.158356
"44946",632.4011,83.78546,99.508896
"44947",632.4144,84.788895,100.63062
"44948",632.42773,85.41634,101.40772
"44949",632.44104,85.65072,101.811356
"44950",632.45435,85.55062,101.88784
"44951",632.46765,85.19905,101.709724
"44952",632.48096,84.68879,101.36193
"44953",632.49426,84.105286,100.92495
"44954",632.50757,83.51446,100.46241
"44955",632.5209,82.94316,100.00094
"44956",632.5342,82.39628,99.54603
"44957",632.5475,81.86893,99.09356
"44958",632.5608,81.36843,98.65147
"44959",632.5741,80.91676,98.24256
"44960",632.5874,80.5481,97.90255
