Time (s), PPG trace, Preprocessed PPG
10.826019,89.65713,89.65713
10.839355,89.37881,89.680595
10.852684,88.76601,89.360886
10.86602,87.94568,88.8145
10.879356,87.044785,88.16191
10.892685,86.170746,87.50802
10.906021,85.39193,86.922035
10.91935,84.74006,86.43866
10.932686,84.20294,86.04967
10.946022,83.74639,85.72446
10.959351,83.32891,85.42405
10.972687,82.9456,85.14477
10.986023,82.61356,84.90478
10.9993515,82.371864,84.74475
11.012688,82.2449,84.69191
11.026016,82.23758,84.75474
11.039352,82.31815,84.905235
11.052689,82.43778,85.097305
11.066017,82.53788,85.27358
11.079353,82.57206,85.38707
11.0926895,82.50858,85.40397
11.106018,82.3328,85.30658
11.119354,82.04471,85.091385
11.132683,81.65896,84.76953
11.146019,81.19508,84.3575
11.159355,80.68482,83.88458
11.172684,80.147705,83.368866
11.18602,79.60815,82.83392
11.199356,79.08812,82.30165
11.212685,78.60227,81.78731
11.226021,78.16037,81.30173
11.239349,77.77463,80.8585
11.252686,77.44015,80.454475
11.266022,77.16182,80.09615
11.27935,76.93233,79.77797
11.292686,76.74677,79.49655
11.306023,76.59785,79.245964
11.319351,76.4831,79.0249
11.332687,76.40009,78.83199
11.346016,76.351265,78.67067
11.359352,76.334175,78.53956
11.372688,76.34882,78.43965
11.386017,76.39277,78.3695
11.399353,76.456245,78.32025
11.412689,76.53193,78.285194
11.426018,76.60273,78.24762
11.439354,76.663765,78.20249
11.4526825,76.70527,78.13974
11.466019,76.71992,78.05143
11.479355,76.70771,77.93672
11.492683,76.67109,77.79722
11.50602,76.61738,77.63948
11.519356,76.54658,77.462975
11.532684,76.46113,77.26961
11.5460205,76.3708,77.06869
11.559349,76.27314,76.85762
11.572685,76.17792,76.645935
11.586021,76.09247,76.44105
11.59935,76.033875,76.260345
11.612686,76.016785,76.119316
11.626022,76.08026,76.05832
11.639351,76.30244,76.158005
11.652687,76.79317,76.53319
11.666016,77.65255,77.29236
11.679352,78.93675,78.503204
11.692688,80.618904,80.15213
11.706017,82.56718,82.11974
11.719353,84.576485,84.209274
11.732689,86.42222,86.19802
11.746017,87.91638,87.892876
11.759354,88.936905,89.16078
11.772682,89.43984,89.94299
11.786018,89.45205,90.2502
11.799355,89.05653,90.15006
11.812683,88.36561,89.74216
11.826019,87.50866,89.14664
11.839355,86.607765,88.48039
11.852684,85.750824,87.82994
11.86602,84.99397,87.2528
11.879349,84.34699,86.76188
11.892685,83.78302,86.33375
11.906021,83.28008,85.94903
11.91935,82.83818,85.60963
11.932686,82.46708,85.32722
11.946022,82.20584,85.143074
11.959351,82.08133,85.087494
11.972687,82.11063,85.18183
11.986015,82.25956,85.39672
11.9993515,82.4744,85.682175
12.012688,82.686806,85.9719
12.026016,82.84062,86.20968
12.039352,82.882126,86.33995
12.052689,82.78935,86.33724
12.066017,82.55741,86.19247
12.079353,82.193634,85.90861
12.092682,81.722435,85.50596
12.106018,81.17555,85.0129
12.119354,80.584724,84.45881
12.132683,79.971924,83.86428
12.146019,79.36645,83.25793
12.159355,78.78294,82.654625
12.172684,78.24094,82.074585
12.18602,77.7551,81.533775
12.199348,77.33761,81.046135
12.212685,76.99092,80.61625
12.226021,76.717476,80.24877
12.239349,76.507515,79.93623
12.252686,76.34882,79.6684
12.266022,76.23651,79.44199
12.27935,76.16327,79.251144
12.292686,76.11932,79.0873
12.306015,76.102234,78.948944
12.319351,76.10956,78.834465
12.332687,76.13641,78.739746
12.346016,76.18524,78.66784
12.359352,76.243835,78.60722
12.372688,76.30976,78.55577
12.386017,76.37324,78.50393
12.399353,76.422066,78.43942
12.412682,76.44892,78.35447
12.426018,76.453804,78.24838
12.439354,76.42695,78.11071
12.4526825,76.37812,77.950226
12.466019,76.30976,77.768684
12.479355,76.226746,77.57035
12.492683,76.138855,77.36455
12.50602,76.04364,77.148674
12.519348,75.945984,76.92738
12.532684,75.85077,76.70548
12.5460205,75.7702,76.495255
12.559349,75.7116,76.304474
12.572685,75.69695,76.155815
12.586021,75.78485,76.109245
12.59935,76.07782,76.27049
12.612686,76.70771,76.77782
12.626015,77.78195,77.749176
12.639351,79.34936,79.24727
12.652687,81.339134,81.21671
12.666016,83.58526,83.504684
12.679352,85.83383,85.865295
12.692688,87.83826,88.052025
12.706017,89.3959,89.854614
12.719353,90.39445,91.14679
12.732681,90.79729,91.87446
12.746017,90.65568,92.07027
12.759354,90.08682,91.834404
12.772682,89.23476,91.297554
12.786018,88.24597,90.59735
12.799355,87.25475,89.863815
12.812683,86.3563,89.19208
12.826019,85.59945,88.63386
12.839348,84.981766,88.191154
12.852684,84.46662,87.83169
12.86602,84.00519,87.509834
12.879349,83.563286,87.19309
12.892685,83.13603,86.87719
12.906021,82.75273,86.59189
12.91935,82.45487,86.38005
12.932686,82.266884,86.268776
12.946014,82.18631,86.25904
12.959351,82.178986,86.32004
12.972687,82.19852,86.40766
12.986015,82.193634,86.47148
12.9993515,82.11795,86.46435
13.012688,81.94705,86.359634
13.026016,81.66384,86.13727
13.039352,81.26833,85.793755
13.052681,80.7776,85.34266
13.066017,80.218506,84.80786
13.079353,79.622795,84.21898
13.092682,79.01976,83.60416
13.106018,78.43137,82.98514
13.119354,77.874725,82.37947
13.132683,77.3547,81.79303
13.146019,76.8835,81.23917
13.159348,76.46601,80.72429
13.172684,76.104675,80.25252
13.18602,75.80438,79.8305
13.226021,75.24773,78.85968
13.239349,75.16228,78.625725
13.252686,75.11833,78.4306
13.266014,75.10368,78.263405
13.27935,75.11833,78.125046
13.292686,75.157394,78.01156
13.306015,75.21355,77.91638
13.319351,75.27703,77.83029
13.332687,75.34539,77.75106
13.346016,75.41131,77.671524
13.359352,75.46258,77.5794
13.372681,75.491875,77.4669
13.386017,75.494316,77.32847
13.399353,75.47234,77.165695
13.412682,75.42596,76.97782
13.426018,75.36004,76.76897
13.439354,75.28191,76.545845
13.4526825,75.20378,76.320274
13.466019,75.13298,76.099594
13.479347,75.07439,75.88891
13.492683,75.04509,75.70569
13.50602,75.0573,75.56306
13.519348,75.142746,75.49405
13.532684,75.386894,75.58641
13.5460205,75.90936,75.96472
13.559349,76.839554,76.76708
13.572685,78.27024,78.09901
