"","Time..s.","PPG.trace","Preprocessed.PPG"
"16890",225.39534,80.34547,96.17576
"16891",225.40868,78.802475,94.64356
"16892",225.42201,77.574425,93.37809
"16893",225.43535,76.70527,92.433136
"16894",225.44868,76.24628,91.871185
"16895",225.46202,76.22919,91.73679
"16896",225.47536,76.629585,92.019356
"16897",225.4887,77.35714,92.64159
"16898",225.50203,78.26292,93.464775
"16899",225.51537,79.183334,94.33091
"16900",225.5287,79.98169,95.103745
"16901",225.54204,80.5481,95.669586
"16902",225.55537,80.82887,95.96748
"16903",225.56871,80.80934,95.973854
"16904",225.58205,80.499275,95.68908
"16905",225.59538,79.94507,95.150475
"16906",225.60872,79.202866,94.406555
"16907",225.62206,78.3386,93.51738
"16908",225.63539,77.41085,92.53771
"16909",225.64873,76.46845,91.514404
"16910",225.66206,75.55291,90.4885
"16911",225.6754,74.69352,89.49014
"16912",225.68874,73.919586,88.550385
"16913",225.70207,73.23598,87.676765
"16914",225.71541,72.66468,86.8941
"16915",225.72874,72.20325,86.20343
"16916",225.74208,71.85657,85.6131
"16917",225.75542,71.605095,85.10715
"16918",225.76875,71.4464,84.68611
"16919",225.78209,71.35851,84.33092
"16920",225.79543,71.33166,84.03401
"16921",225.80876,71.33898,83.77045
"16922",225.8221,71.37316,83.533966
"16923",225.83543,71.45617,83.34738
"16924",225.84877,71.73693,83.361145
"16925",225.8621,72.51087,83.87686
"16926",225.87544,74.13931,85.27127
"16927",225.88878,76.83467,87.783485
"16928",225.90211,80.56519,91.41509
"16929",225.91545,85.015945,95.88351
"16930",225.92879,89.652245,100.67655
"16931",225.94212,93.85886,105.1848
"16932",225.95546,97.145035,108.90407
"16933",225.9688,99.26177,111.55659
"16934",225.98213,100.15289,113.04964
"16935",225.99547,99.911194,113.43771
"16936",226.0088,98.71488,112.863625
"16937",226.02214,96.798355,111.53194
"16938",226.03548,94.415504,109.674034
"16939",226.04881,91.82025,107.52927
"16940",226.06215,89.22743,105.30583
"16941",226.07549,86.79576,103.16252
"16942",226.08882,84.63508,101.2142
"16943",226.10216,82.79912,99.52309
"16944",226.1155,81.28054,98.09198
"16945",226.12883,80.05249,96.903946
"16946",226.14217,79.10277,95.955864
"16947",226.1555,78.41917,95.244225
"16948",226.16884,78.011444,94.7871
"16949",226.18217,77.88693,94.60045
"16950",226.19551,78.028534,94.67602
"16951",226.20885,78.37522,94.9611
"16952",226.22218,78.836655,95.37176
"16953",226.23552,79.30785,95.8066
"16954",226.24886,79.693596,96.170715
"16955",226.26219,79.91821,96.38576
"16956",226.27553,79.93286,96.39785
"16957",226.28886,79.72045,96.18334
"16958",226.3022,79.290764,95.74492
"16959",226.31554,78.68284,95.11483
"16960",226.32887,77.9382,94.32903
"16961",226.34221,77.09834,93.42474
"16962",226.35555,76.21454,92.450264
"16963",226.36888,75.318535,91.43597
"16964",226.38222,74.444496,90.415634
"16965",226.39555,73.62173,89.41926
"16966",226.40889,72.87465,88.47286
"16967",226.42223,72.215454,87.591
"16968",226.43556,71.66125,86.79353
"16969",226.4489,71.21202,86.083725
"16970",226.46223,70.86778,85.46486
"16971",226.47557,70.62852,84.940216
"16972",226.4889,70.48936,84.508194
"16973",226.50224,70.43809,84.15971
"16974",226.51558,70.47227,83.89508
"16975",226.52892,70.572365,83.69743
"16976",226.54225,70.72129,83.55174
"16977",226.55559,70.90196,83.44245
"16978",226.56892,71.09239,83.34857
"16979",226.58226,71.26574,83.24356
"16980",226.5956,71.414665,83.11954
"16981",226.60893,71.56115,82.99773
"16982",226.62227,71.83948,83.012344
"16983",226.6356,72.54749,83.46535
"16984",226.64894,74.04898,84.73395
"16985",226.66228,76.592964,87.091965
"16986",226.67561,80.184326,90.57686
"16987",226.68895,84.55451,94.952805
"16988",226.70229,89.18837,99.72899
"16989",226.71562,93.47555,104.3033
