"","Time..s.","PPG.trace","Preprocessed.PPG"
"16800",271.18176,78.05539,159.72421
"16801",271.1951,77.34493,158.95299
"16802",271.20844,76.592964,158.11804
"16803",271.22177,75.841,157.25961
"16804",271.2351,75.125656,156.41429
"16805",271.24844,74.45426,155.59058
"16806",271.26178,73.829254,154.79227
"16807",271.27512,73.24574,154.01591
"16808",271.28845,72.72083,153.27994
"16809",271.3018,72.396126,152.72775
"16810",271.31512,72.584114,152.67812
"16811",271.32846,73.64858,153.51083
"16812",271.3418,75.809265,155.47304
"16813",271.35513,79.029526,158.56233
"16814",271.36847,82.98711,162.48958
"16815",271.3818,87.12291,166.71873
"16816",271.39514,90.80217,170.62059
"16817",271.40848,93.54879,173.70477
"16818",271.4218,95.15526,175.73463
"16819",271.43515,95.6289,176.68188
"16820",271.4485,95.09178,176.63318
"16821",271.46182,93.748985,175.762
"16822",271.47516,91.842224,174.28488
"16823",271.4885,89.60586,172.41858
"16824",271.50183,87.2401,170.353
"16825",271.51517,84.89632,168.23547
"16826",271.5285,82.68192,166.17409
"16827",271.54184,80.67994,164.25592
"16828",271.55518,78.96605,162.56328
"16829",271.5685,77.63546,161.20038
"16830",271.58185,76.773636,160.26466
"16831",271.59518,76.422066,159.81227
"16832",271.60852,76.54658,159.82497
"16833",271.62186,77.032425,160.2029
"16834",271.6352,77.713585,160.79132
"16835",271.64853,78.4094,161.41568
"16836",271.66187,78.96849,161.92506
"16837",271.6752,79.29565,162.21999
"16838",271.68854,79.3518,162.25412
"16839",271.70187,79.14671,162.02878
"16840",271.7152,78.71458,161.56998
"16841",271.72855,78.10666,160.92189
"16842",271.74188,77.38888,160.14494
"16843",271.75522,76.61738,159.29184
"16844",271.76855,75.83612,158.40488
"16845",271.7819,75.08659,157.52522
"16846",271.79523,74.39323,156.67831
"16847",271.80856,73.7731,155.88298
"16848",271.8219,73.21156,155.12685
"16849",271.83524,72.69886,154.40201
"16850",271.84857,72.24475,153.71974
"16851",271.8619,71.96643,153.19907
"16852",271.87524,72.16174,153.14333
"16853",271.88858,73.21156,153.9482
"16854",271.90192,75.37469,155.89919
"16855",271.91525,78.6511,159.03105
"16856",271.9286,82.75273,163.09053
"16857",271.94193,87.132675,167.5565
"16858",271.95526,91.12688,171.7736
"16859",271.9686,94.19577,175.19022
"16860",271.98193,96.06836,177.50642
"16861",271.99527,96.72022,178.66043
"16862",272.0086,96.27589,178.7386
"16863",272.02194,94.959946,177.93127
"16864",272.03528,93.050735,176.48956
"16865",272.0486,90.81438,174.66104
"16866",272.06195,88.47791,172.66252
"16867",272.0753,86.204926,170.65446
"16868",272.08862,84.085754,168.7292
"16869",272.10196,82.17166,166.9428
"16870",272.1153,80.49195,165.33095
"16871",272.12863,79.093,163.94737
"16872",272.14197,78.01877,162.84479
"16873",272.1553,77.30831,162.07242
"16874",272.16864,76.978714,161.6587
"16875",272.18198,76.995804,161.58138
"16876",272.1953,77.261925,161.75362
"16877",272.20865,77.645226,162.05135
"16878",272.222,78.01633,162.34886
"16879",272.23532,78.26536,162.5359
"16880",272.24866,78.32395,162.54028
"16881",272.262,78.170135,162.33409
"16882",272.27533,77.80881,161.91557
"16883",272.28867,77.279015,161.3173
"16884",272.302,76.627144,160.5804
"16885",272.31534,75.8996,159.74745
"16886",272.32867,75.142746,158.86246
"16887",272.342,74.39811,157.96603
"16888",272.35535,73.69253,157.08539
"16889",272.36868,73.03822,156.23398
"16890",272.38202,72.44251,155.42072
"16891",272.39536,71.89563,154.63766
"16892",272.4087,71.395134,153.88391
"16893",272.42203,70.97032,153.1902
"16894",272.43536,70.79942,152.73712
"16895",272.4487,71.2169,152.86708
"16896",272.46204,72.59632,153.97203
"16897",272.47537,75.123215,156.26756
"16898",272.4887,78.71946,159.71141
"16899",272.50204,83.02373,163.97566
"16900",272.51538,87.42809,168.47452
"16901",272.52872,91.2636,172.54216
"16902",272.54205,94.04196,175.6725
"16903",272.5554,95.57275,177.64209
"16904",272.56873,95.87305,178.42905
"16905",272.58206,95.12596,178.178
"16906",272.5954,93.58297,177.1077
"16907",272.60873,91.53704,175.48624
"16908",272.62207,89.25918,173.56891
"16909",272.6354,86.959335,171.55841
"16910",272.64874,84.76204,169.5786
"16911",272.66208,82.75029,167.71567
"16912",272.6754,80.9485,165.99983
"16913",272.68875,79.378654,164.45963
"16914",272.7021,78.0676,163.12915
"16915",272.71542,77.06172,162.06288
"16916",272.72876,76.39765,161.30699
"16917",272.7421,76.09003,160.8868
"16918",272.75543,76.09247,160.76704
"16919",272.76877,76.314644,160.86711
"16920",272.7821,76.64179,161.07909
"16921",272.79544,76.95674,161.2891
"16922",272.80878,77.16426,161.4015
"16923",272.8221,77.19844,161.34706
"16924",272.83545,77.04219,161.10326
"16925",272.8488,76.6955,160.66414
"16926",272.86212,76.18524,160.05061
"16927",272.87546,75.55535,159.30151
"16928",272.8888,74.85466,158.46193
"16929",272.90213,74.124664,157.57114
"16930",272.91547,73.402,156.66487
"16931",272.9288,72.71107,155.76775
"16932",272.94214,72.07385,154.90276
"16933",272.95547,71.485466,154.06668
"16934",272.9688,70.94591,153.26105
"16935",272.98215,70.44297,152.47517
"16936",272.99548,69.976654,151.7102
"16937",273.00882,69.610435,151.03076
"16938",273.02216,69.56405,150.6597
"16939",273.0355,70.21591,150.98544
"16940",273.04883,71.93225,152.39603
"16941",273.06216,74.864426,155.07608
"16942",273.0755,78.856186,158.90735
"16943",273.08884,83.46075,163.47617
"16944",273.10217,87.99939,168.12296
"16945",273.1155,91.80072,172.17427
"16946",273.12885,94.43015,175.17247
"16947",273.14218,95.746086,176.93935
"16948",273.15552,95.80957,177.4949
"16949",273.16885,94.835434,177.01482
"16950",273.1822,93.102005,175.745
"16951",273.19553,90.90471,173.95714
"16952",273.20886,88.499886,171.89308
"16953",273.2222,86.0975,169.75632
"16954",273.23553,83.81964,167.669
"16955",273.24887,81.73708,165.70581
"16956",273.2622,79.8938,163.91681
"16957",273.27554,78.331276,162.35097
"16958",273.28888,77.103226,161.07077
"16959",273.30222,76.26093,160.13795
"16960",273.31555,75.83368,159.59386
"16961",273.3289,75.80194,159.43192
"16962",273.34222,76.09247,159.59125
"16963",273.35556,76.578316,159.95499
"16964",273.3689,77.117874,160.38762
"16965",273.38223,77.576866,160.75655
"16966",273.39557,77.855194,160.95915
"16967",273.4089,77.90402,160.94095
"16968",273.42224,77.71603,160.68745
"16969",273.43558,77.31808,160.21812
"16970",273.4489,76.754105,159.57034
"16971",273.46225,76.07782,158.79262
"16972",273.4756,75.34051,157.93274
"16973",273.48892,74.5861,157.03271
