"","Time..s.","RIP.Band.1","Preprocessed.Band.1","RIP.Band.2","Preprocessed.Band.2"
"1",14.493776,-0.0027377754,-1.0051299e-06,NA,NA
"2",14.497776,-0.0027509406,-2.044243e-06,NA,NA
"3",14.501776,-0.0028018132,-3.1962686e-06,NA,NA
"4",14.505775,-0.0027959123,-4.5999723e-06,NA,NA
"5",14.509777,-0.0027401224,-6.4460405e-06,NA,NA
"6",14.513777,-0.0026690438,-8.964273e-06,NA,NA
"7",14.5177765,-0.0026749447,-1.2410309e-05,NA,NA
"8",14.521776,-0.002737239,-1.7054923e-05,NA,NA
"9",14.525776,-0.002724655,-2.3176335e-05,NA,NA
"10",14.529776,-0.0026764423,-3.10509e-05,NA,NA
"11",14.533777,-0.0026031062,-4.094822e-05,NA,NA
"12",14.537777,-0.0026251897,-5.312392e-05,NA,NA
"13",14.541777,-0.002671793,-6.7815e-05,NA,NA
"14",14.545776,-0.002658449,-8.5234715e-05,NA,NA
"15",14.549776,-0.0026141927,-0.00010557162,NA,NA
"16",14.553776,-0.0025409907,-0.00012898727,NA,NA
"17",14.5577755,-0.0025495738,-0.00015561249,NA,NA
"18",14.561777,-0.0026042014,-0.00018554667,NA,NA
"19",14.565777,-0.0025940537,-0.00021885728,NA,NA
"20",14.569777,-0.0025399178,-0.00025557994,NA,NA
"21",14.573776,-0.0024674311,-0.00029572018,NA,NA
"22",14.577776,-0.002472952,-0.00033925142,NA,NA
"23",14.581776,-0.0025371239,-0.0003861173,NA,NA
"24",14.585777,-0.0025220364,-0.00043623208,NA,NA
"25",14.589777,-0.0024649277,-0.00048948353,NA,NA
"26",14.593777,-0.002403818,-0.0005457347,NA,NA
"27",14.597776,-0.0024068803,-0.0006048256,NA,NA
"28",14.601776,-0.0024609044,-0.0006665737,NA,NA
"29",14.605776,-0.0024527684,-0.0007307775,NA,NA
"30",14.609776,-0.0023986548,-0.0007972191,NA,NA
"31",14.613777,-0.0023182333,-0.0008656659,NA,NA
"32",14.617777,-0.0023345947,-0.00093587337,NA,NA
"33",14.621777,-0.002398096,-0.0010075853,NA,NA
"34",14.625776,-0.0023847967,-0.0010805378,NA,NA
"35",14.629776,-0.0023206025,-0.0011544614,NA,NA
"36",14.633776,-0.0022598952,-0.0012290837,NA,NA
"37",14.637775,-0.002270691,-0.0013041307,NA,NA
"38",14.641777,-0.0023237765,-0.0013793287,NA,NA
"39",14.645777,-0.002318859,-0.0014544057,NA,NA
"40",14.649776,-0.0022582412,-0.0015290944,NA,NA
"41",14.653776,-0.002198942,-0.0016031336,NA,NA
"42",14.657776,-0.00220301,-0.0016762702,NA,NA
"43",14.661776,-0.0022560284,-0.0017482591,NA,NA
"44",14.665775,-0.0022603646,-0.0018188643,NA,NA
"45",14.669777,-0.00220225,-0.0018878632,NA,NA
"46",14.673777,-0.0021318197,-0.001955045,NA,NA
"47",14.677776,-0.0021431074,-0.0020202128,NA,NA
"48",14.681776,-0.0021970868,-0.002083183,NA,NA
"49",14.685776,-0.0021970198,-0.0021437875,NA,NA
"50",14.689775,-0.0021420345,-0.002201873,NA,NA
"51",14.693777,-0.0020737946,-0.0022573033,NA,NA
"52",14.697777,-0.0020875633,-0.0023099578,NA,NA
"53",14.7017765,-0.0021406487,-0.0023597307,NA,NA
"54",14.705776,-0.002130434,-0.0024065322,NA,NA
"55",14.709776,-0.0020941123,-0.002450288,NA,NA
"56",14.713776,-0.0020045042,-0.002490941,NA,NA
"57",14.717775,-0.0020303652,-0.0025284488,NA,NA
"58",14.721777,-0.0020899773,-0.0025627855,NA,NA
"59",14.725777,-0.0020880327,-0.0025939392,NA,NA
"60",14.729776,-0.002017334,-0.0026219133,NA,NA
"61",14.733776,-0.00196369,-0.0026467268,NA,NA
"62",14.737776,-0.0019773245,-0.0026684108,NA,NA
"63",14.7417755,-0.0020328015,-0.0026870072,NA,NA
"64",14.745775,-0.002031058,-0.0027025705,NA,NA
"65",14.749777,-0.0019689202,-0.0027151653,NA,NA
"66",14.753777,-0.001907967,-0.0027248675,NA,NA
"67",14.757776,-0.0019300282,-0.0027317628,NA,NA
"68",14.761776,-0.0019822419,-0.0027359433,NA,NA
"69",14.765776,-0.0019776374,-0.0027375089,NA,NA
"70",14.769775,-0.00192938,-0.0027365678,NA,NA
"71",14.773777,-0.0018577874,-0.002733234,NA,NA
"72",14.777777,-0.0018761605,-0.0027276285,NA,NA
"73",14.781776,-0.0019351467,-0.0027198754,NA,NA
"74",14.785776,-0.0019405112,-0.0027101024,NA,NA
"75",14.789776,-0.0018806979,-0.0026984392,NA,NA
"76",14.793776,-0.0018268749,-0.0026850193,NA,NA
"77",14.797775,-0.0018303618,-0.0026699754,NA,NA
"78",14.801777,-0.001898691,-0.0026534419,NA,NA
"79",14.805777,-0.0018952042,-0.0026355516,NA,NA
"80",14.809776,-0.0018446669,-0.0026164383,NA,NA
"81",14.813776,-0.0017888322,-0.0025962354,NA,NA
"82",14.817776,-0.0018073842,-0.0025750753,NA,NA
"83",14.821775,-0.0018613413,-0.002553087,NA,NA
"84",14.825777,-0.0018676668,-0.0025303962,NA,NA
"85",14.829777,-0.0018099546,-0.0025071264,NA,NA
"86",14.833776,-0.001756087,-0.0024833977,NA,NA
"87",14.837776,-0.0017755777,-0.0024593265,NA,NA
"88",14.841776,-0.001828976,-0.0024350237,NA,NA
"89",14.845776,-0.0018335357,-0.0024105948,NA,NA
"90",14.849777,-0.0017941967,-0.0023861406,NA,NA
"91",14.853777,-0.0017219782,-0.0023617584,NA,NA
"92",14.857777,-0.001749292,-0.0023375412,NA,NA
"93",14.861776,-0.0018003881,-0.0023135743,NA,NA
"94",14.865776,-0.0017985329,-0.0022899373,NA,NA
"95",14.869776,-0.0017662793,-0.002266705,NA,NA
"96",14.8737755,-0.0017028674,-0.0022439465,NA,NA
"97",14.877777,-0.0017093718,-0.002221725,NA,NA
"98",14.881777,-0.0017867312,-0.0022000968,NA,NA
"99",14.8857765,-0.0017779022,-0.002179113,NA,NA
"100",14.889776,-0.0017421842,-0.002158819,NA,NA
"101",14.893776,-0.0016740113,-0.0021392559,NA,NA
"102",14.897776,-0.0016781241,-0.0021204585,NA,NA
"103",14.901777,-0.0017534494,-0.0021024544,NA,NA
"104",14.905777,-0.0017662793,-0.0020852655,NA,NA
"105",14.909777,-0.0017188936,-0.0020689087,NA,NA
"106",14.913776,-0.0016569793,-0.0020533972,NA,NA
"107",14.917776,-0.0016680211,-0.0020387406,NA,NA
"108",14.921776,-0.0017175302,-0.0020249411,NA,NA
"109",14.925777,-0.0017459393,-0.002011997,NA,NA
"110",14.929777,-0.0017017946,-0.0019999035,NA,NA
"111",14.933777,-0.0016299784,-0.001988653,NA,NA
"112",14.937777,-0.0016512573,-0.0019782353,NA,NA
"113",14.941776,-0.0017069131,-0.001968636,NA,NA
"114",14.945776,-0.0017263815,-0.0019598375,NA,NA
"115",14.949776,-0.0016783923,-0.0019518202,NA,NA
"116",14.953777,-0.0016204789,-0.001944562,NA,NA
"117",14.957777,-0.0016260222,-0.0019380391,NA,NA
"118",14.961777,-0.0016873777,-0.0019322236,NA,NA
"119",14.965776,-0.0017111376,-0.0019270866,NA,NA
"120",14.969776,-0.0016645789,-0.001922597,NA,NA
"121",14.973776,-0.001595825,-0.001918723,NA,NA
"122",14.9777775,-0.0016219988,-0.001915432,NA,NA
"123",14.981777,-0.0016857237,-0.0019126906,NA,NA
"124",14.985777,-0.0016996264,-0.0019104637,NA,NA
"125",14.989777,-0.0016514361,-0.0019087174,NA,NA
"126",14.993776,-0.0015899688,-0.0019074182,NA,NA
"127",14.997776,-0.0016097948,-0.0019065316,NA,NA
"128",15.001776,-0.0016798005,-0.0019060222,NA,NA
"129",15.005777,-0.0016796663,-0.0019058546,NA,NA
"130",15.009777,-0.0016402155,-0.0019059952,NA,NA
"131",15.013777,-0.00159055,-0.0019064115,NA,NA
"132",15.0177765,-0.001610063,-0.0019070723,NA,NA
"133",15.021776,-0.0016757324,-0.0019079463,NA,NA
"134",15.025776,-0.0016901493,-0.0019090043,NA,NA
"135",15.029778,-0.0016511902,-0.0019102178,NA,NA
"136",15.033777,-0.0016011,-0.0019115612,NA,NA
"137",15.037777,-0.0016171709,-0.0019130104,NA,NA
"138",15.041777,-0.0016808957,-0.0019145414,NA,NA
"139",15.045776,-0.0016965866,-0.0019161324,NA,NA
"140",15.049776,-0.0016572699,-0.001917764,NA,NA
"141",15.053776,-0.0016006529,-0.0019194193,NA,NA
"142",15.057777,-0.0016235411,-0.0019210825,NA,NA
"143",15.061777,-0.0016901717,-0.0019227392,NA,NA
"144",15.065777,-0.0017036945,-0.0019243768,NA,NA
"145",15.069777,-0.0016770288,-0.001925985,NA,NA
"146",15.073776,-0.0016143769,-0.0019275564,NA,NA
"147",15.077776,-0.0016325712,-0.0019290854,NA,NA
"148",15.081778,-0.0017003417,-0.0019305673,NA,NA
"149",15.085777,-0.0017222911,-0.0019319985,NA,NA
"150",15.089777,-0.0016947091,-0.0019333767,NA,NA
"151",15.093777,-0.001627788,-0.0019347012,NA,NA
"152",15.097776,-0.0016589239,-0.0019359741,NA,NA
