"","Time..s.","RIP.Band.1","Preprocessed.Band.1"
"77873",330.70795,-0.0015078038,-0.08670729
"77874",330.71194,-0.0014962032,-0.08670285
"77875",330.71594,-0.0014944598,-0.08669852
"77876",330.71994,-0.001509659,-0.0866943
"77877",330.72394,-0.0015378892,-0.08669021
"77878",330.72794,-0.0015450418,-0.08668627
"77879",330.73193,-0.0015288368,-0.08668249
"77880",330.73593,-0.0015230477,-0.0866789
"77881",330.73993,-0.0015429631,-0.08667552
"77882",330.74393,-0.0015653148,-0.08667236
"77883",330.74792,-0.0015649796,-0.08666943
"77884",330.75192,-0.0015595034,-0.086666755
"77885",330.75592,-0.0015473887,-0.08666434
"77886",330.75992,-0.0015689358,-0.08666221
"77887",330.76392,-0.0015929416,-0.08666037
"77888",330.7679,-0.0015924498,-0.086658835
"77889",330.7719,-0.0015725121,-0.08665761
"77890",330.7759,-0.0015641749,-0.08665671
"77891",330.7799,-0.0015805811,-0.086656146
"77892",330.7839,-0.0016031787,-0.086655915
"77893",330.7879,-0.0016004965,-0.08665603
"77894",330.7919,-0.0015773624,-0.08665649
"77895",330.7959,-0.0015790388,-0.0866573
"77896",330.7999,-0.0015912876,-0.086658455
"77897",330.8039,-0.001612097,-0.08665995
"77898",330.8079,-0.0016125664,-0.08666179
"77899",330.8119,-0.0015891194,-0.08666397
"77900",330.8159,-0.0015807599,-0.08666648
"77901",330.8199,-0.0015953109,-0.08666931
"77902",330.82388,-0.0016156286,-0.086672455
"77903",330.82788,-0.001614064,-0.0866759
"77904",330.83188,-0.0015941709,-0.08667963
"77905",330.83588,-0.0015811175,-0.086683646
"77906",330.83987,-0.0015991554,-0.086687915
"77907",330.84387,-0.0016217977,-0.08669243
"77908",330.84787,-0.0016165003,-0.08669718
"77909",330.85187,-0.0015939251,-0.086702146
"77910",330.85587,-0.0015832186,-0.08670731
"77911",330.85986,-0.001598753,-0.08671264
"77912",330.86386,-0.0016194507,-0.08671814
"77913",330.86786,-0.0016111135,-0.086723775
"77914",330.87186,-0.0015940815,-0.08672953
"77915",330.87585,-0.001588963,-0.086735375
"77916",330.87985,-0.0016010329,-0.086741306
"77917",330.88385,-0.0016184226,-0.086747296
"77918",330.88785,-0.001618512,-0.08675332
"77919",330.89185,-0.0015956685,-0.086759366
"77920",330.89584,-0.0015867949,-0.08676541
"77921",330.89984,-0.0015945733,-0.08677143
"77922",330.90384,-0.0016243234,-0.08677741
"77923",330.90784,-0.0016204119,-0.086783335
"77924",330.91183,-0.0015947074,-0.08678918
"77925",330.91583,-0.0015848503,-0.08679494
"77926",330.91983,-0.0015989095,-0.086800605
"77927",330.92383,-0.0016196519,-0.08680615
"77928",330.92783,-0.001617685,-0.08681156
"77929",330.93182,-0.0015869066,-0.086816825
"77930",330.93582,-0.0015835986,-0.08682194
"77931",330.93982,-0.0016024411,-0.0868269
"77932",330.94382,-0.00162144,-0.08683168
"77933",330.9478,-0.0016164109,-0.086836286
"77934",330.9518,-0.0015977919,-0.086840704
"77935",330.9558,-0.0015842244,-0.08684493
"77936",330.9598,-0.0016037151,-0.08684896
"77937",330.9638,-0.0016255528,-0.08685279
"77938",330.9678,-0.0016182438,-0.08685642
"77939",330.9718,-0.0015955344,-0.086859845
"77940",330.9758,-0.001585722,-0.08686306
"77941",330.9798,-0.0016010776,-0.08686608
"77942",330.9838,-0.0016205683,-0.0868689
"77943",330.9878,-0.0016090125,-0.08687151
"77944",330.9918,-0.0015912428,-0.08687393
"77945",330.9958,-0.0015859455,-0.08687616
"77946",330.9998,-0.0016014129,-0.0868782
"77947",331.00378,-0.0016106218,-0.086880066
"77948",331.00778,-0.0016130358,-0.08688175
"77949",331.01178,-0.0015869737,-0.08688327
"77950",331.01578,-0.001574032,-0.08688463
"77951",331.01978,-0.0015908182,-0.08688584
"77952",331.02377,-0.0016077831,-0.086886905
"77953",331.02777,-0.0016019493,-0.08688784
"77954",331.03177,-0.001579754,-0.08688864
"77955",331.03577,-0.0015650243,-0.08688933
"77956",331.03976,-0.0015816763,-0.0868899
"77957",331.04376,-0.0015978366,-0.08689036
"77958",331.04776,-0.001593478,-0.08689073
"77959",331.05176,-0.0015663877,-0.086891
"77960",331.05576,-0.0015584305,-0.08689119
"77961",331.05975,-0.0015745908,-0.08689129
"77962",331.06375,-0.0015870631,-0.08689132
"77963",331.06775,-0.0015809163,-0.08689128
"77964",331.07175,-0.0015561283,-0.086891174
"77965",331.07574,-0.0015445724,-0.086891
"77966",331.07974,-0.0015567765,-0.08689077
"77967",331.08374,-0.0015673265,-0.08689049
"77968",331.08774,-0.0015637055,-0.08689015
"77969",331.09174,-0.0015439689,-0.086889766
"77970",331.09573,-0.0015309602,-0.086889334
"77971",331.09973,-0.001546137,-0.08688886
"77972",331.10373,-0.001558274,-0.086888336
"77973",331.10773,-0.0015512332,-0.08688778
"77974",331.11172,-0.0015253052,-0.08688718
"77975",331.11572,-0.0015132576,-0.08688654
"77976",331.11972,-0.0015248582,-0.08688587
"77977",331.12372,-0.0015362352,-0.08688516
"77978",331.12772,-0.0015312955,-0.08688442
"77979",331.1317,-0.0015089214,-0.086883634
