"","Time..s.","RIP.Band.1","Preprocessed.Band.1"
"124669",509.8199,0.0018505007,-0.12563348
"124670",509.8239,0.0018606037,-0.1256103
"124671",509.82788,0.0018943995,-0.12558712
"124672",509.8319,0.0019268543,-0.1255639
"124673",509.83588,0.0019420534,-0.12554067
"124674",509.8399,0.0019385219,-0.12551743
"124675",509.84387,0.001961656,-0.12549418
"124676",509.8479,0.0019845665,-0.12547094
"124677",509.85187,0.002019994,-0.12544769
"124678",509.8559,0.002024822,-0.12542444
"124679",509.85986,0.0020325556,-0.12540121
"124680",509.8639,0.0020391047,-0.125378
"124681",509.86786,0.0020695254,-0.12535481
"124682",509.8719,0.002097331,-0.12533166
"124683",509.87585,0.0021074116,-0.12530853
"124684",509.87988,0.0021045506,-0.12528545
"124685",509.88385,0.002115883,-0.12526241
"124686",509.88788,0.0021384358,-0.12523942
"124687",509.89185,0.0021635145,-0.12521648
"124688",509.89587,0.002174288,-0.12519363
"124689",509.89984,0.0021706447,-0.12517084
"124690",509.90387,0.0021715388,-0.12514815
"124691",509.90784,0.0021969974,-0.12512554
"124692",509.91187,0.0022203326,-0.12510304
"124693",509.91583,0.0022257417,-0.12508065
"124694",509.91986,0.002217494,-0.12505837
"124695",509.92383,0.0022250712,-0.12503621
"124696",509.92786,0.0022393763,-0.1250142
"124697",509.93182,0.0022616163,-0.12499233
"124698",509.93585,0.0022641867,-0.12497063
"124699",509.93982,0.0022586212,-0.1249491
"124700",509.94385,0.0022527426,-0.124927744
"124701",509.9478,0.0022758767,-0.124906585
"124702",509.95184,0.0022954121,-0.12488563
"124703",509.9558,0.002293311,-0.1248649
"124704",509.95984,0.0022801906,-0.124844395
"124705",509.9638,0.00228142,-0.12482414
"124706",509.96783,0.0022929534,-0.12480413
"124707",509.9718,0.0023113266,-0.124784395
"124708",509.97583,0.002308555,-0.12476494
"124709",509.9798,0.0022974908,-0.124745786
"124710",509.98383,0.0022859797,-0.124726936
"124711",509.9878,0.0023071915,-0.12470841
"124712",509.99182,0.002316244,-0.12469021
"124713",509.9958,0.0023119748,-0.12467236
"124714",509.99982,0.0022942498,-0.12465486
"124715",510.00378,0.0022914112,-0.12463773
"124716",510.0078,0.0022978485,-0.124620974
"124717",510.01178,0.0023107007,-0.12460462
"124718",510.0158,0.0023064762,-0.12458867
"124719",510.01978,0.0022899806,-0.12457313
"124720",510.0238,0.0022768378,-0.12455801
"124721",510.02777,0.002291344,-0.124543324
"124722",510.0318,0.0023023188,-0.12452908
"124723",510.03577,0.00229311,-0.12451528
"124724",510.0398,0.00227011,-0.12450194
"124725",510.04376,0.0022674277,-0.12448907
"124726",510.0478,0.0022689924,-0.124476664
"124727",510.05176,0.0022824705,-0.124464735
"124728",510.0558,0.0022621304,-0.124453284
"124729",510.05975,0.0022560507,-0.12444232
"124730",510.06378,0.002236694,-0.12443184
"124731",510.06775,0.0022482052,-0.12442186
"124732",510.07178,0.002252631,-0.124412365
"124733",510.07574,0.0022398233,-0.12440337
"124734",510.07977,0.002215974,-0.12439488
"124735",510.08374,0.002207078,-0.124386884
"124736",510.08777,0.0022092238,-0.12437939
"124737",510.09174,0.0022146776,-0.1243724
"124738",510.09576,0.0021979362,-0.12436591
"124739",510.09973,0.0021746457,-0.12435992
"124740",510.10376,0.0021594241,-0.12435442
"124741",510.10773,0.0021666214,-0.124349415
"124742",510.11176,0.0021601617,-0.1243449
"124743",510.11572,0.0021511987,-0.12434087
"124744",510.11975,0.0021181405,-0.12433732
"124745",510.12372,0.0021074563,-0.12433425
"124746",510.12775,0.002103053,-0.12433166
"124747",510.1317,0.0021052212,-0.124329545
"124748",510.13574,0.0020864457,-0.1243279
"124749",510.1397,0.0020610094,-0.12432671
"124750",510.14374,0.0020382777,-0.12432599
"124751",510.1477,0.0020452067,-0.12432572
"124752",510.15173,0.0020332485,-0.1243259
"124753",510.1557,0.0020108968,-0.12432653
"124754",510.15973,0.0019879416,-0.124327585
"124755",510.1637,0.001968585,-0.124329075
"124756",510.16772,0.0019664615,-0.12433099
"124757",510.1717,0.0019616112,-0.12433332
"124758",510.17572,0.0019394383,-0.124336064
"124759",510.1797,0.0019142032,-0.124339215
"124760",510.18372,0.0018905103,-0.12434276
"124761",510.18768,0.0018857047,-0.1243467
"124762",510.1917,0.0018760487,-0.12435104
"124763",510.19568,0.0018564016,-0.12435576
"124764",510.1997,0.0018204153,-0.12436087
"124765",510.20367,0.0018039644,-0.12436635
"124766",510.2077,0.001794219,-0.124372214
"124767",510.21167,0.0017895028,-0.12437845
"124768",510.2157,0.001760222,-0.12438506
"124769",510.21967,0.0017315894,-0.12439203
"124770",510.2237,0.0017091036,-0.12439937
"124771",510.22766,0.0017053485,-0.124407075
"124772",510.2317,0.0016968548,-0.12441514
"124773",510.23566,0.001672782,-0.124423556
"124774",510.2397,0.0016434118,-0.124432325
"124775",510.24365,0.0016139969,-0.124441445
"124776",510.24768,0.0016069338,-0.124450915
"124777",510.25165,0.0015996471,-0.12446073
"124778",510.25568,0.001569584,-0.12447088
"124779",510.25964,0.0015413314,-0.12448137
"124780",510.26367,0.0015095249,-0.1244922
"124781",510.26764,0.0015159845,-0.12450335
"124782",510.27167,0.0014968291,-0.12451483
"124783",510.27563,0.001471214,-0.124526635
"124784",510.27966,0.0014389381,-0.12453876
"124785",510.28363,0.0014158934,-0.12455119
"124786",510.28766,0.0014058352,-0.12456393
"124787",510.29163,0.0013989508,-0.12457698
"124788",510.29565,0.0013689771,-0.12459032
"124789",510.29962,0.001338534,-0.12460396
"124790",510.30365,0.0013076663,-0.12461788
"124791",510.30762,0.0013069063,-0.12463209
"124792",510.31165,0.0012956858,-0.12464657
"124793",510.3156,0.0012705401,-0.12466132
"124794",510.31964,0.0012267306,-0.12467634
"124795",510.3236,0.0012136772,-0.12469162
"124796",510.32764,0.0011995733,-0.12470716
"124797",510.3316,0.001191482,-0.12472295
"124798",510.33563,0.0011647046,-0.124738984
"124799",510.3396,0.0011281595,-0.124755256
"124800",510.34363,0.0010993481,-0.12477177
"124801",510.3476,0.0011011139,-0.1247885
"124802",510.35162,0.0010901168,-0.12480546
"124803",510.3556,0.0010613725,-0.12482263
"124804",510.35962,0.0010277554,-0.12484001
"124805",510.3636,0.001006633,-0.1248576
"124806",510.3676,0.001005806,-0.124875374
"124807",510.37158,0.0009824708,-0.12489334
"124808",510.3756,0.0009621084,-0.12491148
"124809",510.37958,0.0009290725,-0.12492979
"124810",510.3836,0.00090589374,-0.12494826
"124811",510.38757,0.00090222806,-0.12496689
"124812",510.3916,0.0008925274,-0.12498566
"124813",510.39557,0.0008652583,-0.12500456
"124814",510.3996,0.0008377433,-0.12502359
"124815",510.40356,0.0008078143,-0.12504274
"124816",510.4076,0.00080088526,-0.125062
"124817",510.41156,0.0008004606,-0.12508136
"124818",510.4156,0.0007575676,-0.12510082
"124819",510.41956,0.0007326454,-0.12512036
"124820",510.42358,0.00070792437,-0.12513998
"124821",510.42755,0.00070593506,-0.12515967
"124822",510.43158,0.0006963238,-0.12517941
"124823",510.43555,0.0006683618,-0.12519921
"124824",510.43958,0.00062877685,-0.12521906
"124825",510.44354,0.0006131306,-0.12523896
"124826",510.44757,0.0006053522,-0.12525888
"124827",510.45154,0.00059560686,-0.12527883
"124828",510.45557,0.0005683601,-0.1252988
"124829",510.45953,0.00053489953,-0.1253188
"124830",510.46356,0.00050756335,-0.1253388
"124831",510.46753,0.0005079657,-0.1253588
"124832",510.47156,0.00049102306,-0.12537882
"124833",510.47552,0.0004638657,-0.12539883
"124834",510.47955,0.00043420494,-0.12541884
"124835",510.48352,0.00041178614,-0.12543884
"124836",510.48755,0.00040061027,-0.12545882
"124837",510.49152,0.00039468706,-0.12547879
"124838",510.49554,0.00035959482,-0.12549874
"124839",510.4995,0.00033127517,-0.12551868
"124840",510.50354,0.00030384958,-0.12553859
"124841",510.5075,0.0003046766,-0.12555848
"124842",510.51154,0.0002837777,-0.12557834
"124843",510.5155,0.00025371462,-0.12559819
"124844",510.51953,0.00022512674,-0.12561801
"124845",510.5235,0.00020230561,-0.1256378
"124846",510.52753,0.00019627064,-0.12565757
"124847",510.5315,0.00018353015,-0.12567732
"124848",510.53552,0.0001540035,-0.12569705
"124849",510.5395,0.00012447685,-0.12571675
"124850",510.54352,9.8481774e-05,-0.12573643
"124851",510.5475,9.0032816e-05,-0.1257561
"124852",510.5515,7.344782e-05,-0.12577574
"124853",510.55548,5.105138e-05,-0.12579538
"124854",510.5595,1.1533499e-05,-0.125815
"124855",510.56348,-6.9513917e-06,-0.12583463
"124856",510.5675,-1.8753111e-05,-0.12585425
"124857",510.57147,-2.3514032e-05,-0.12587388
"124858",510.5755,-5.648285e-05,-0.1258935
"124859",510.57947,-9.061396e-05,-0.12591314
"124860",510.5835,-0.00011502206,-0.12593278
"124861",510.58746,-0.00011573732,-0.12595244
"124862",510.5915,-0.00013124943,-0.1259721
"124863",510.59546,-0.00015610456,-0.12599179
"124864",510.5995,-0.00019510835,-0.1260115
"124865",510.60345,-0.00021193922,-0.12603123
"124866",510.60748,-0.00022304803,-0.126051
"124867",510.61145,-0.00022897124,-0.12607077
"124868",510.61548,-0.00025831908,-0.12609057
"124869",510.61945,-0.00029312074,-0.1261104
"124870",510.62347,-0.00031538308,-0.12613027
"124871",510.62744,-0.00031719357,-0.12615016
"124872",510.63147,-0.0003283918,-0.12617008
"124873",510.63544,-0.0003566444,-0.12619005
"124874",510.63947,-0.0003940165,-0.12621005
"124875",510.64343,-0.0004080087,-0.12623008
"124876",510.64746,-0.0004165247,-0.12625013
"124877",510.65143,-0.00042320788,-0.12627022
"124878",510.65546,-0.00045964122,-0.12629034
"124879",510.65942,-0.00048668683,-0.12631048
"124880",510.66345,-0.00050877035,-0.12633066
"124881",510.66742,-0.00050959736,-0.12635086
"124882",510.67145,-0.0005245283,-0.12637109
"124883",510.6754,-0.0005507469,-0.12639134
"124884",510.67944,-0.00058398396,-0.1264116
"124885",510.6834,-0.00060173124,-0.12643188
"124886",510.68744,-0.00060548633,-0.1264522
"124887",510.6914,-0.0006181598,-0.1264725
"124888",510.69543,-0.00063928217,-0.12649283
"124889",510.6994,-0.00067258626,-0.12651317
"124890",510.70343,-0.0006976202,-0.12653351
"124891",510.7074,-0.0006907359,-0.12655385
"124892",510.71143,-0.0007067397,-0.12657419
"124893",510.7154,-0.0007314384,-0.12659453
"124894",510.71942,-0.00076648593,-0.12661485
"124895",510.7234,-0.00077819824,-0.12663516
"124896",510.72742,-0.0007866472,-0.12665546
"124897",510.73138,-0.00079375505,-0.12667574
"124898",510.7354,-0.0008202195,-0.12669599
"124899",510.73938,-0.00085026026,-0.12671621
"124900",510.7434,-0.00087203085,-0.1267364
"124901",510.74738,-0.000868164,-0.12675656
"124902",510.7514,-0.0008844361,-0.12677668
"124903",510.75537,-0.0009098053,-0.12679675
"124904",510.7594,-0.0009383261,-0.12681678
"124905",510.76337,-0.0009556934,-0.12683676
"124906",510.7674,-0.0009601638,-0.12685668
"124907",510.77136,-0.0009657964,-0.12687656
"124908",510.7754,-0.0010007992,-0.12689638
"124909",510.77936,-0.0010234639,-0.12691613
"124910",510.7834,-0.0010482296,-0.12693581
