"","Time..s.","RIP.Band.1","Preprocessed.Band.1"
"25768",100.65234,-0.008723393,-0.20866157
"25769",100.65625,-0.008712195,-0.20866318
"25770",100.66016,-0.008697532,-0.20866475
"25771",100.66406,-0.008699343,-0.20866627
"25772",100.66797,-0.008716509,-0.20866774
"25773",100.671875,-0.008715905,-0.20866917
"25774",100.67578,-0.00870578,-0.20867056
"25775",100.67969,-0.008700326,-0.20867191
"25776",100.68359,-0.00869865,-0.20867324
"25777",100.6875,-0.008715324,-0.20867454
"25778",100.69141,-0.008723035,-0.20867583
"25779",100.69531,-0.008714654,-0.20867711
"25780",100.69922,-0.0086964145,-0.2086784
"25781",100.703125,-0.0086992085,-0.20867969
"25782",100.70703,-0.008717716,-0.208681
"25783",100.71094,-0.00872308,-0.20868234
"25784",100.71484,-0.008712642,-0.20868371
"25785",100.71875,-0.008697309,-0.20868513
"25786",100.72266,-0.008697487,-0.2086866
"25787",100.72656,-0.008721963,-0.20868814
"25788",100.73047,-0.008726902,-0.20868975
"25789",100.734375,-0.008715838,-0.20869143
"25790",100.73828,-0.008704461,-0.20869319
"25791",100.74219,-0.008701555,-0.20869502
"25792",100.74609,-0.008724533,-0.20869693
"25793",100.75,-0.008727059,-0.20869893
"25794",100.75391,-0.008717336,-0.208701
"25795",100.75781,-0.008704372,-0.20870316
"25796",100.76172,-0.008706383,-0.2087054
"25797",100.765625,-0.0087283775,-0.20870772
"25798",100.76953,-0.008730143,-0.20871013
"25799",100.77344,-0.00871937,-0.20871264
"25800",100.77734,-0.008705869,-0.20871522
"25801",100.78125,-0.008708753,-0.20871787
"25802",100.78516,-0.008727729,-0.2087206
"25803",100.78906,-0.008727327,-0.2087234
"25804",100.79297,-0.008717738,-0.20872626
"25805",100.796875,-0.008711927,-0.20872918
"25806",100.80078,-0.008712105,-0.20873216
"25807",100.80469,-0.008729495,-0.20873518
"25808",100.80859,-0.00873448,-0.20873827
"25809",100.8125,-0.008726209,-0.2087414
"25810",100.81641,-0.008710183,-0.20874457
"25811",100.82031,-0.008713536,-0.20874779
"25812",100.82422,-0.008731887,-0.20875104
"25813",100.828125,-0.008736268,-0.20875432
"25814",100.83203,-0.008726321,-0.20875762
"25815",100.83594,-0.008711435,-0.20876096
"25816",100.83984,-0.00871738,-0.20876431
"25817",100.84375,-0.008730456,-0.20876768
"25818",100.84766,-0.00873933,-0.20877108
"25819",100.85156,-0.008728445,-0.20877449
"25820",100.85547,-0.008711994,-0.20877792
"25821",100.859375,-0.00871633,-0.20878138
"25822",100.86328,-0.008735083,-0.20878485
"25823",100.86719,-0.008739218,-0.20878835
"25824",100.87109,-0.008727975,-0.20879187
"25825",100.875,-0.008707233,-0.2087954
"25826",100.87891,-0.008717358,-0.20879894
"25827",100.88281,-0.008739285,-0.20880249
"25828",100.88672,-0.008742347,-0.20880604
"25829",100.890625,-0.008728445,-0.20880958
"25830",100.89453,-0.00871671,-0.20881312
"25831",100.89844,-0.008723706,-0.20881663
"25832",100.90234,-0.008737385,-0.20882013
"25833",100.90625,-0.008740626,-0.20882362
